                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.542,                 8.9971,                 1.9314,                0.03377,                   0.05,                0.01403,                0.00585,                 1.9654,                 21.137,                 2.4223,              4.545e-05,              4.545e-05,              4.545e-05
                      2,                 1.0323,                 3.1211,                 1.6564,                0.01146,                   0.25,                0.00728,                0.00364,                 2.1636,                  110.2,                 2.1608,              9.603e-05,              9.603e-05,              9.603e-05
                      3,                0.67188,                  2.288,                  1.414,                0.43687,                   0.05,                   0.08,                  0.024,                 4.3815,                 140.41,                  2.994,             0.00014229,             0.00014229,             0.00014229
                      4,                0.63647,                 1.9346,                 1.4039,                0.58453,                   0.05,                0.01289,                0.00572,                 3.0592,                 23.402,                  2.381,             0.00018423,             0.00018423,             0.00018423
                      5,                 0.3171,                 1.2958,                 1.1003,                0.97599,                    0.1,                0.12752,                0.08049,                 1.9884,                   7.79,                  1.933,             0.00022185,             0.00022185,             0.00022185
                      6,                0.41185,                 1.3184,                 1.2009,                0.75669,                    0.9,                0.92172,                0.61654,                 1.2369,                 3.6479,                 1.8262,             0.00025516,             0.00025516,             0.00025516
                      7,                0.48104,                 1.2907,                 1.2809,                0.90151,                0.93636,                 0.9252,                0.59593,                 1.6349,                 2.9192,                 1.8711,             0.00028414,             0.00028414,             0.00028414
                      8,                0.33603,                 1.1088,                 1.1636,                0.95762,                    0.9,                0.95153,                 0.6245,                  1.363,                 2.5257,                 1.5302,              0.0003088,              0.0003088,              0.0003088
                      9,                 0.3054,                  1.019,                 1.0933,                0.88474,                   0.95,                0.95306,                0.69718,                 1.1643,                 2.8928,                 1.2563,             0.00032915,             0.00032915,             0.00032915
                     10,                0.29238,                0.86894,                 1.0992,                 0.9493,                    0.9,                0.95153,                0.65181,                 1.4162,                 4.5285,                 1.6141,             0.00034517,             0.00034517,             0.00034517
                     11,                0.25946,                0.78002,                 1.0358,                0.80784,                    0.9,                 0.9522,                 0.5704,                 1.6461,                 3.9751,                 1.7799,             0.00035687,             0.00035687,             0.00035687
                     12,                0.25202,                0.74825,                  1.023,                0.67672,                   0.75,                0.74052,                0.37287,                 2.5537,                 2.9651,                 2.0974,             0.00036426,             0.00036426,             0.00036426
                     13,                0.28374,                0.80604,                 1.0833,                0.43171,                    0.3,                0.27153,                0.13577,                  4.189,                 3.8372,                 2.8984,             0.00036732,             0.00036732,             0.00036732
                     14,                0.27792,                0.79794,                 1.0479,                0.80564,                   0.75,                0.77938,                 0.4657,                 2.7884,                 2.3885,                 2.0212,             0.00036607,             0.00036607,             0.00036607
                     15,                 0.2427,                0.74053,                 1.0235,                0.87772,                0.94024,                0.94571,                0.69801,                 1.5949,                 1.7229,                 1.5588,             0.00036049,             0.00036049,             0.00036049
                     16,                0.80402,                 2.1358,                  1.564,                0.89907,                0.66298,                0.98591,                0.87502,                0.46102,                 1.7931,                 1.0352,              0.0003506,              0.0003506,              0.0003506
                     17,                0.39611,                 1.4243,                 1.2613,                0.90721,                0.90679,                  0.995,                0.94366,                0.35397,                 1.1227,                0.79378,             0.00033306,             0.00033306,             0.00033306
                     18,                0.33111,                 1.0149,                 1.2011,                0.97855,                      1,                  0.995,                0.97103,                0.42517,                 1.1845,                0.81883,             0.00033306,             0.00033306,             0.00033306
                     19,                0.35179,                 1.1197,                 1.2655,                 0.9684,                 0.9992,                  0.995,                  0.995,                0.34886,                0.92075,                0.69878,             0.00029706,             0.00029706,             0.00029706
                     20,                0.32393,                0.91289,                 1.2422,                0.91786,                0.97977,                  0.995,                  0.995,                0.32852,                  1.014,                0.66774,             0.00026106,             0.00026106,             0.00026106
                     21,                0.30377,                0.81352,                 1.1357,                0.97253,                      1,                  0.995,                0.98554,                0.32191,                0.87241,                0.66491,             0.00022507,             0.00022507,             0.00022507
                     22,                0.29927,                0.88031,                 1.2123,                0.94706,                 0.9579,                  0.995,                0.95717,                0.38287,                0.83812,                0.71328,             0.00018907,             0.00018907,             0.00018907
                     23,                0.25511,                0.76625,                 1.1219,                0.90951,                0.94178,                  0.995,                0.95906,                0.42524,                0.91711,                0.74528,             0.00015308,             0.00015308,             0.00015308
                     24,                0.26983,                0.75768,                 1.1646,                0.95843,                0.93776,                  0.995,                0.96507,                0.43202,                0.81359,                0.76918,             0.00011708,             0.00011708,             0.00011708
                     25,                0.34207,                0.63325,                  1.245,                0.96158,                0.99576,                  0.995,                0.96907,                0.41904,                0.71308,                0.76112,             8.1083e-05,             8.1083e-05,             8.1083e-05
